Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.002000	0.795264	0.257997	71.425000	90.800000	
0.002000	0.397660	0.189928	85.600000	93.800000	
0.002000	0.293494	0.154108	89.650000	94.000000	
0.002000	0.253749	0.147066	91.050000	94.600000	
0.002000	0.234417	0.139471	91.600000	95.600000	
0.002000	0.191785	0.142621	93.000000	95.200000	
0.002000	0.183632	0.131071	93.650000	95.400000	
0.002000	0.168624	0.150440	94.075000	95.200000	
0.002000	0.149004	0.142117	94.575000	95.000000	
0.002000	0.140122	0.112029	95.025000	96.200000	
